TARGET_BAD_FLAG,TARGET_LOSS_AMT,LOAN,z_IMP_REASON_HomeImp,z_IMP_REASON_MISSING,z_IMP_JOB_Mgr,z_IMP_JOB_Office,z_IMP_JOB_Other,z_IMP_JOB_ProfExe,z_IMP_JOB_Sales,z_IMP_JOB_Self,M_MORTDUE,IMP_MORTDUE,M_VALUE,IMP_VALUE,M_YOJ,IMP_YOJ,M_DEROG,IMP_DEROG,M_DELINQ,IMP_DELINQ,M_CLAGE,IMP_CLAGE,M_NINQ,IMP_NINQ,M_CLNO,IMP_CLNO,M_DEBTINC,IMP_DEBTINC
1,641.0,1100,1,0,0,0,1,0,0,0,0,25860.0,0,39025.0,0,10.5,0,0.0,0,0.0,0,94.36666667,0,1.0,0,9.0,1,34.81826182
1,1109.0,1300,1,0,0,0,1,0,0,0,0,70053.0,0,68400.0,0,7.0,0,0.0,0,2.0,0,121.8333333,0,0.0,0,14.0,1,34.81826182
1,767.0,1500,1,0,0,0,1,0,0,0,0,13500.0,0,16700.0,0,4.0,0,0.0,0,0.0,0,149.4666667,0,1.0,0,10.0,1,34.81826182
1,1425.0,1500,0,1,0,0,0,0,0,0,1,65019.0,1,89235.5,1,7.0,1,0.0,1,0.0,1,173.4666667,1,1.0,1,20.0,1,34.81826182
0,,1700,1,0,0,1,0,0,0,0,0,97800.0,0,112000.0,0,3.0,0,0.0,0,0.0,0,93.33333333,0,0.0,0,14.0,1,34.81826182
1,335.0,1700,1,0,0,0,1,0,0,0,0,30548.0,0,40320.0,0,9.0,0,0.0,0,0.0,0,101.4660019,0,1.0,0,8.0,0,37.11361356
1,1841.0,1800,1,0,0,0,1,0,0,0,0,48649.0,0,57037.0,0,5.0,0,3.0,0,2.0,0,77.1,0,1.0,0,17.0,1,34.81826182
1,373.0,1800,1,0,0,0,1,0,0,0,0,28502.0,0,43034.0,0,11.0,0,0.0,0,0.0,0,88.76602988,0,0.0,0,8.0,0,36.88489409
1,1217.0,2000,1,0,0,0,1,0,0,0,0,32700.0,0,46740.0,0,3.0,0,0.0,0,2.0,0,216.9333333,0,1.0,0,12.0,1,34.81826182
1,1523.0,2000,1,0,0,0,0,0,1,0,1,65019.0,0,62250.0,0,16.0,0,0.0,0,0.0,0,115.8,0,0.0,0,13.0,1,34.81826182
1,1822.0,2000,0,1,0,0,0,0,0,0,0,22608.0,1,89235.5,0,18.0,1,0.0,1,0.0,1,173.4666667,1,1.0,1,20.0,1,34.81826182
1,1224.0,2000,1,0,0,1,0,0,0,0,0,20627.0,0,29800.0,0,11.0,0,0.0,0,1.0,0,122.5333333,0,1.0,0,9.0,1,34.81826182
1,1928.0,2000,1,0,0,0,1,0,0,0,0,45000.0,0,55000.0,0,3.0,0,0.0,0,0.0,0,86.06666667,0,2.0,0,25.0,1,34.81826182
0,,2000,0,1,1,0,0,0,0,0,0,64536.0,0,87400.0,0,2.5,0,0.0,0,0.0,0,147.1333333,0,0.0,0,24.0,1,34.81826182
1,1680.0,2100,1,0,0,0,1,0,0,0,0,71000.0,0,83850.0,0,8.0,0,0.0,0,1.0,0,123.0,0,0.0,0,16.0,1,34.81826182
1,407.0,2200,1,0,0,0,1,0,0,0,0,24280.0,0,34687.0,1,7.0,0,0.0,0,1.0,0,300.8666667,0,0.0,0,8.0,1,34.81826182
1,2375.0,2200,1,0,1,0,0,0,0,0,0,90957.0,0,102600.0,0,7.0,0,2.0,0,6.0,0,122.9,0,1.0,0,22.0,1,34.81826182
1,224.0,2200,0,1,0,0,0,0,0,0,0,23030.0,1,89235.5,0,19.0,1,0.0,1,0.0,1,173.4666667,1,1.0,1,20.0,0,3.7113123
1,2017.0,2300,1,0,0,0,1,0,0,0,0,28192.0,0,40150.0,0,4.5,0,0.0,0,0.0,0,54.6,0,1.0,0,16.0,1,34.81826182
0,,2300,1,0,0,1,0,0,0,0,0,102370.0,0,120953.0,0,2.0,0,0.0,0,0.0,0,90.99253347,0,0.0,0,13.0,0,31.58850318
1,1825.0,2300,1,0,0,0,1,0,0,0,0,37626.0,0,46200.0,0,3.0,0,0.0,0,1.0,0,122.2666667,0,1.0,0,14.0,1,34.81826182
1,589.0,2400,1,0,0,0,0,1,0,0,0,50000.0,0,73395.0,0,5.0,0,1.0,0,0.0,1,173.4666667,0,1.0,0,0.0,1,34.81826182
1,2192.0,2400,1,0,1,0,0,0,0,0,0,28000.0,0,40800.0,0,12.0,0,0.0,0,0.0,0,67.2,0,2.0,0,22.0,1,34.81826182
1,1694.0,2400,1,0,1,0,0,0,0,0,0,18000.0,1,89235.5,0,22.0,1,0.0,0,2.0,0,121.7333333,0,0.0,0,10.0,1,34.81826182
1,1638.0,2400,1,0,0,0,1,0,0,0,1,65019.0,0,17180.0,1,7.0,0,0.0,0,0.0,0,14.56666667,0,3.0,0,4.0,1,34.81826182
1,1298.0,2400,1,0,1,0,0,0,0,0,0,34863.0,0,47471.0,0,12.0,0,0.0,0,0.0,0,70.49108003,0,1.0,0,21.0,0,38.26360073
0,,2400,1,0,0,1,0,0,0,0,0,98449.0,0,117195.0,0,4.0,0,0.0,0,0.0,0,93.81177486,0,0.0,0,13.0,0,29.68182705
1,1916.0,2500,1,0,0,0,0,0,0,0,0,15000.0,0,20200.0,0,18.0,0,0.0,0,0.0,0,136.0666667,0,1.0,0,19.0,1,34.81826182
1,909.0,2500,1,0,0,0,1,0,0,0,0,25116.0,0,36350.0,0,10.0,0,1.0,0,2.0,0,276.9666667,0,0.0,0,9.0,1,34.81826182
0,,2500,1,0,0,0,0,0,0,1,0,7229.0,0,44516.0,1,7.0,0,0.0,0,0.0,0,208.0,0,0.0,0,12.0,1,34.81826182
0,,2500,1,0,0,0,0,1,0,0,0,71408.0,0,78600.0,0,8.0,0,0.0,0,0.0,0,255.7333333,0,0.0,0,12.0,1,34.81826182
1,3080.0,2800,1,0,0,0,0,0,0,1,0,50795.0,0,63100.0,0,26.0,0,2.0,0,15.0,0,145.6333333,0,3.0,0,45.0,1,34.81826182
1,1916.0,2800,1,0,0,0,1,0,0,0,0,4000.0,0,60850.0,0,16.0,0,4.0,0,0.0,0,112.6333333,0,2.0,0,9.0,1,34.81826182
1,2823.0,2900,0,0,0,0,0,1,0,0,0,78600.0,0,113000.0,0,6.0,0,1.0,0,0.0,0,165.3333333,0,2.0,0,26.0,1,34.81826182
0,,2900,1,0,0,1,0,0,0,0,0,103949.0,0,112505.0,0,1.0,0,0.0,0,0.0,0,96.10232967,0,0.0,0,13.0,0,30.05113629
0,,2900,1,0,0,1,0,0,0,0,0,104373.0,0,120702.0,0,2.0,0,0.0,0,0.0,0,101.5402975,0,0.0,0,13.0,0,29.91585903
1,620.0,2900,1,0,0,0,1,0,0,0,0,7750.0,0,67996.0,0,16.0,0,3.0,0,0.0,0,122.2046628,0,2.0,0,8.0,0,36.211348
1,2065.0,2900,0,0,1,0,0,0,0,0,0,61962.0,0,70915.0,0,2.0,0,0.0,0,0.0,0,282.8016592,0,3.0,0,37.0,0,49.20639579
0,,3000,1,0,0,1,0,0,0,0,0,104570.0,0,121729.0,0,2.0,0,0.0,0,0.0,0,85.8843719,0,0.0,0,14.0,0,32.05978327
1,2267.0,3000,1,0,0,0,1,0,0,0,0,7000.0,0,20300.0,0,3.0,0,0.0,0,0.0,0,50.8,0,5.0,0,9.0,1,34.81826182
1,1959.0,3000,1,0,0,0,1,0,0,0,1,65019.0,0,8800.0,0,2.0,0,0.0,0,1.0,0,77.76666667,0,0.0,0,3.0,1,34.81826182
1,2320.0,3000,1,0,0,0,1,0,0,0,1,65019.0,0,33000.0,0,1.0,0,0.0,0,1.0,0,23.3,0,1.0,0,2.0,1,34.81826182
1,2724.0,3000,1,0,0,0,1,0,0,0,0,119826.0,0,193500.0,0,8.0,0,0.0,0,0.0,0,130.0333585,0,0.0,0,27.0,1,34.81826182
1,1997.0,3000,0,0,0,0,1,0,0,0,0,20000.0,0,29750.0,0,2.0,0,0.0,0,0.0,0,187.0666667,0,0.0,0,12.0,1,34.81826182
1,2082.0,3000,1,0,0,0,1,0,0,0,1,65019.0,0,14500.0,0,3.0,0,0.0,0,0.0,0,9.3,0,14.0,0,2.0,1,34.81826182
1,2573.0,3000,1,0,0,0,1,0,0,0,1,65019.0,0,14100.0,0,1.0,0,0.0,0,0.0,0,104.2,0,0.0,0,19.0,1,34.81826182
1,2034.0,3000,1,0,0,0,0,1,0,0,0,47000.0,0,82700.0,0,10.0,0,0.0,0,1.0,0,262.1666667,0,5.0,0,26.0,1,34.81826182
1,2652.0,3000,1,0,1,0,0,0,0,0,0,34542.0,0,45900.0,0,8.5,0,0.0,0,2.0,0,62.36666667,0,0.0,0,10.0,1,34.81826182
0,,3000,1,0,1,0,0,0,0,0,0,58000.0,0,71500.0,0,10.0,1,0.0,0,2.0,0,211.9333333,0,0.0,0,25.0,1,34.81826182
0,,3000,1,0,0,1,0,0,0,0,0,47000.0,0,56400.0,0,21.0,0,0.0,0,0.0,0,201.8666667,0,0.0,0,20.0,1,34.81826182
1,1942.0,3100,1,0,0,0,1,0,0,0,0,39589.0,0,36100.0,0,1.5,0,0.0,0,0.0,0,153.1666667,0,1.0,0,14.0,1,34.81826182
0,,3100,0,1,0,0,0,0,0,0,1,65019.0,0,70400.0,1,7.0,1,0.0,1,0.0,1,173.4666667,1,1.0,1,20.0,1,34.81826182
0,,3200,1,0,1,0,0,0,0,0,0,67848.0,0,74566.0,0,10.0,1,0.0,0,1.0,0,206.4266021,0,0.0,0,25.0,0,40.11567728
1,3242.0,3200,1,0,0,0,0,1,0,0,0,48603.0,0,61000.0,0,28.0,0,0.0,0,4.0,0,122.0333333,0,1.0,0,25.0,1,34.81826182
1,320.0,3200,1,0,0,0,1,0,0,0,0,27200.0,0,40834.0,1,7.0,0,0.0,0,0.0,0,298.131564,0,0.0,0,7.0,0,35.55353879
1,2752.0,3200,1,0,0,0,1,0,0,0,0,54000.0,0,64850.0,0,1.0,0,0.0,0,0.0,0,121.8666667,0,3.0,0,21.0,1,34.81826182
0,,3200,1,0,0,0,0,1,0,0,0,74864.0,0,87266.0,0,7.0,0,0.0,0,0.0,0,250.6312692,0,0.0,0,12.0,0,42.90999735
1,320.0,3200,1,0,1,0,0,0,0,0,0,23159.0,1,89235.5,0,20.0,1,0.0,0,2.0,0,117.8057478,0,0.0,0,9.0,0,0.524499215
1,3483.0,3300,1,0,0,0,0,0,1,0,0,126541.0,0,134527.0,0,9.0,0,1.0,0,0.0,0,139.0,0,0.0,0,36.0,1,34.81826182
1,3464.0,3300,0,0,0,0,1,0,0,0,0,130518.0,0,164317.0,0,9.0,0,0.0,0,6.0,0,192.289149,0,0.0,0,33.0,0,35.73055919
1,1505.0,3400,1,0,0,1,0,0,0,0,0,37000.0,0,52000.0,0,2.0,0,0.0,0,1.0,0,183.2999156,0,0.0,0,6.0,1,34.81826182
1,1827.0,3500,1,0,0,0,1,0,0,0,0,23200.0,0,38666.0,0,11.0,0,0.0,0,0.0,0,162.3666667,0,0.0,0,14.0,1,34.81826182
1,2185.0,3500,1,0,0,0,1,0,0,0,0,19400.0,0,20494.0,0,5.0,0,0.0,0,0.0,0,95.93333333,0,0.0,0,9.0,1,34.81826182
1,2900.0,3600,1,0,0,0,0,1,0,0,0,61584.0,0,61800.0,0,10.0,1,0.0,1,0.0,1,173.4666667,1,1.0,1,20.0,1,34.81826182
1,2075.0,3600,1,0,1,0,0,0,0,0,0,41900.0,0,52490.0,0,3.0,0,0.0,0,0.0,0,72.03333333,0,2.0,0,4.0,1,34.81826182
0,,3600,1,0,0,0,0,1,0,0,0,83700.0,0,111800.0,0,6.0,0,0.0,0,0.0,0,192.7333333,0,1.0,0,28.0,1,34.81826182
0,,3600,1,0,1,0,0,0,0,0,0,61327.0,0,76484.0,0,9.0,1,0.0,0,2.0,0,202.5107752,0,0.0,0,25.0,0,41.5163897
0,,3600,1,0,0,1,0,0,0,0,0,100693.0,0,114743.0,0,6.0,0,0.0,0,0.0,0,88.47045214,0,0.0,0,14.0,0,29.39354338
1,3815.0,3600,0,0,0,1,0,0,0,0,0,48507.0,0,61000.0,0,13.0,0,1.0,0,4.0,0,97.4,0,0.0,0,17.0,1,34.81826182
0,,3600,1,0,0,1,0,0,0,0,0,52337.0,0,63989.0,0,20.0,0,0.0,0,0.0,0,204.2724988,0,0.0,0,20.0,0,20.47091551
1,520.0,3700,1,0,0,0,1,0,0,0,0,17857.0,0,21144.0,0,5.0,0,0.0,0,0.0,0,129.7173231,0,1.0,0,9.0,0,26.63434752
1,3970.0,3800,1,0,1,0,0,0,0,0,0,19135.0,0,97692.0,0,1.6,0,1.0,0,6.0,0,252.6333333,0,1.0,0,25.0,1,34.81826182
0,,3800,1,0,0,1,0,0,0,0,0,51180.0,0,63459.0,0,20.0,0,0.0,0,0.0,0,203.7515336,0,0.0,0,20.0,0,20.06704205
0,,3800,0,1,0,0,0,0,0,0,1,65019.0,0,73189.0,1,7.0,1,0.0,1,0.0,1,173.4666667,1,1.0,1,20.0,0,22.25394916
0,,3800,1,0,0,0,0,0,0,1,0,11543.0,0,46045.0,1,7.0,0,0.0,0,0.0,0,204.6479917,0,0.0,0,11.0,0,42.17316588
1,570.0,3900,1,0,0,0,1,0,0,0,0,29896.0,0,45960.0,0,11.0,0,0.0,0,0.0,0,146.1232422,0,0.0,0,14.0,0,24.47888119
1,2232.0,3900,1,0,0,0,1,0,0,0,0,14500.0,0,22092.0,0,3.5,0,0.0,0,1.0,0,150.3,0,5.0,0,8.0,1,34.81826182
0,,3900,0,0,0,0,0,1,0,0,0,52825.0,0,63000.0,0,8.0,0,0.0,0,4.0,0,171.6666667,0,1.0,0,31.0,1,34.81826182
0,,3900,1,0,0,1,0,0,0,0,0,102143.0,0,118742.0,0,2.0,0,0.0,0,0.0,0,85.27736558,0,0.0,0,13.0,0,29.34392109
1,3766.0,3900,0,0,1,0,0,0,0,0,0,21200.0,0,39000.0,0,4.0,0,0.0,0,1.0,0,86.56666667,0,2.0,0,14.0,1,34.81826182
0,,4000,1,0,0,1,0,0,0,0,0,105164.0,0,112774.0,0,1.0,0,0.0,0,0.0,0,94.72487417,0,0.0,0,13.0,0,29.39092806
0,,4000,1,0,0,1,0,0,0,0,0,54543.0,0,61777.0,0,21.0,0,0.0,0,0.0,0,205.58668,0,0.0,0,19.0,0,21.80656346
1,3356.0,4000,1,0,0,0,1,0,0,0,1,65019.0,0,80609.0,0,1.5,0,0.0,0,2.0,0,126.5333333,0,3.0,0,12.0,1,34.81826182
1,714.0,4000,1,0,0,1,0,0,0,0,0,26572.0,0,31960.0,0,11.0,0,0.0,0,0.0,0,117.7951039,0,0.0,0,8.0,0,41.28649195
1,3048.0,4000,1,0,0,0,0,1,0,0,0,17000.0,0,52012.0,0,22.0,0,3.0,0,1.0,0,85.33333333,0,1.0,0,9.0,1,34.81826182
1,4094.0,4000,0,0,0,0,1,0,0,0,0,29562.0,0,37200.0,0,6.0,0,0.0,0,0.0,0,92.13333333,0,1.0,0,26.0,1,34.81826182
1,3772.0,4000,1,0,0,0,1,0,0,0,0,41700.0,0,76725.0,0,0.5,0,0.0,0,3.0,0,136.1333333,0,0.0,0,15.0,1,34.81826182
1,3082.0,4000,1,0,0,0,1,0,0,0,0,58000.0,0,69440.0,0,3.5,0,0.0,0,1.0,0,168.6666667,0,0.0,0,18.0,1,34.81826182
1,4050.0,4000,0,0,0,0,1,0,0,0,0,5700.0,0,18000.0,1,7.0,0,0.0,0,0.0,0,12.2,0,0.0,0,17.0,1,34.81826182
